GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.trainday.health_service.api.DTO.Request,BioimpedanceRequest,0,30,0,0,0,1,0,1,0,1
,com.trainday.health_service.api.DTO.Request,SportsConsultationRequest,30,0,0,0,1,0,1,0,1,0
,com.trainday.health_service.api.DTO.Request,NutritionistConsultationRequest,39,0,0,0,1,0,1,0,1,0
,com.trainday.health_service.api.DTO.Request,PrescriptionRequest,18,0,0,0,1,0,1,0,1,0
,com.trainday.health_service.api.DTO.Request,ClinicalAnalysisRequest,0,99,0,0,0,1,0,1,0,1
,com.trainday.health_service.api.DTO.Request,MedicConsultationRequest,36,0,0,0,1,0,1,0,1,0
,com.trainday.health_service.aplication.service,BioimpendanceService,5,322,4,19,0,73,5,21,1,12
,com.trainday.health_service.aplication.service,ClinicalAnalysisService,0,213,1,3,0,55,1,4,0,3
,com.trainday.health_service.infra.client,AthleteClientService,16,0,0,0,4,0,2,0,2,0
,com.trainday.health_service.infra.config,RestTemplateConfig,7,0,0,0,2,0,2,0,2,0
,com.trainday.health_service.api.DTO.Response,SportsConsultationResponse,30,0,0,0,1,0,1,0,1,0
,com.trainday.health_service.api.DTO.Response,ClinicalAnalysisResponse,99,0,0,0,1,0,1,0,1,0
,com.trainday.health_service.api.DTO.Response,MedicConsultationResponse,36,0,0,0,1,0,1,0,1,0
,com.trainday.health_service.api.DTO.Response,PrescriptionResponse,18,0,0,0,1,0,1,0,1,0
,com.trainday.health_service.api.DTO.Response,BioimpedanceResponse,36,0,0,0,1,0,1,0,1,0
,com.trainday.health_service.api.DTO.Response,NutritionistConsultationResponse,39,0,0,0,1,0,1,0,1,0
,com.trainday.health_service.api.DTO.Response,AthleteSnapshotResponse,0,27,0,0,0,1,0,1,0,1
,com.trainday.health_service,HealthServiceApplication,8,0,0,0,3,0,2,0,2,0
,com.trainday.health_service.infra.security,JwtService,103,0,0,0,38,0,8,0,8,0
,com.trainday.health_service.infra.security,JwtAuthFilter,61,0,6,0,18,0,6,0,3,0
,com.trainday.health_service.api.controller,ClinicalAnalysisController,42,0,0,0,11,0,4,0,4,0
,com.trainday.health_service.api.controller,BioimpedanceController,0,51,0,0,0,14,0,5,0,5
,com.trainday.health_service.infra.security.config,SwaggerConfig,3,0,0,0,1,0,1,0,1,0
,com.trainday.health_service.infra.security.config,SecurityConfig,92,0,0,0,17,0,5,0,5,0
,com.trainday.health_service.domain.models.enums,AnalysisStatus,0,64,0,4,0,12,0,6,0,4
,com.trainday.health_service.domain.models.enums,ActivityLevel,0,78,0,4,0,14,0,6,0,4
,com.trainday.health_service.domain.models.enums,ConsultationStatus,0,64,0,4,0,12,0,6,0,4
